num_tokens,in_features,num_classes,dtype,mode,batch_chunk_size,acc_policy,time_ms,memory_peak_bytes,error
4096,32768,16384,bfloat16,reference,0,compact,49.098751068115234,2969863168,
4096,32768,16384,bfloat16,chunked,64,compact,195.08428955078125,2711836672,
4096,32768,16384,bfloat16,chunked,128,compact,112.5027847290039,2730711040,
4096,32768,16384,bfloat16,chunked,256,compact,78.8326416015625,2768460800,
4096,32768,16384,bfloat16,chunked,512,compact,66.20569610595703,2843960832,
4096,32768,16384,bfloat16,chunked,1024,compact,60.98432159423828,2994960896,
4096,32768,16384,bfloat16,chunked,2048,compact,59.37356948852539,3296961024,
4096,32768,16384,bfloat16,chunked,4096,compact,58.3004150390625,3900961280,
8192,32768,16384,bfloat16,reference,0,compact,98.82009887695312,3775202304,
8192,32768,16384,bfloat16,chunked,64,compact,387.8604736328125,3248793600,
8192,32768,16384,bfloat16,chunked,128,compact,223.74400329589844,3267667968,
8192,32768,16384,bfloat16,chunked,256,compact,155.87123107910156,3305417728,
8192,32768,16384,bfloat16,chunked,512,compact,130.9654998779297,3380917760,
8192,32768,16384,bfloat16,chunked,1024,compact,120.43468475341797,3531917824,
8192,32768,16384,bfloat16,chunked,2048,compact,117.06060791015625,3833917952,
8192,32768,16384,bfloat16,chunked,4096,compact,114.4432601928711,4437918208,
8192,32768,16384,bfloat16,chunked,8192,compact,114.39103698730469,5645918720,
16384,32768,16384,bfloat16,reference,0,compact,199.61241149902344,5385880576,
16384,32768,16384,bfloat16,chunked,64,compact,772.611083984375,4322707456,
16384,32768,16384,bfloat16,chunked,128,compact,445.2833251953125,4341581824,
16384,32768,16384,bfloat16,chunked,256,compact,311.2745056152344,4379331584,
16384,32768,16384,bfloat16,chunked,512,compact,260.04376220703125,4454831616,
16384,32768,16384,bfloat16,chunked,1024,compact,238.8633575439453,4605831680,
16384,32768,16384,bfloat16,chunked,2048,compact,232.48690795898438,4907831808,
16384,32768,16384,bfloat16,chunked,4096,compact,226.9327392578125,5511832064,
16384,32768,16384,bfloat16,chunked,8192,compact,226.1370849609375,6719832576,
16384,32768,16384,bfloat16,chunked,16384,compact,229.1927032470703,9135833600,
8192,16384,16384,bfloat16,reference,0,compact,49.62406539916992,2164589568,
8192,16384,16384,bfloat16,chunked,64,compact,204.6351318359375,1631889408,
8192,16384,16384,bfloat16,chunked,128,compact,113.59744262695312,1644472320,
8192,16384,16384,bfloat16,chunked,256,compact,82.57331085205078,1669639168,
8192,16384,16384,bfloat16,chunked,512,compact,67.82463836669922,1719973376,
8192,16384,16384,bfloat16,chunked,1024,compact,62.19161605834961,1820641792,
8192,16384,16384,bfloat16,chunked,2048,compact,60.75494384765625,2021978624,
8192,16384,16384,bfloat16,chunked,4096,compact,58.25843048095703,2424652288,
8192,16384,16384,bfloat16,chunked,8192,compact,57.957374572753906,3229999616,
8192,65536,16384,bfloat16,reference,0,compact,197.01145935058594,6996427776,
8192,65536,16384,bfloat16,chunked,64,compact,770.8159790039062,6490990592,
8192,65536,16384,bfloat16,chunked,128,compact,461.10516357421875,6530836480,
8192,65536,16384,bfloat16,chunked,256,compact,308.1246643066406,6610529280,
8192,65536,16384,bfloat16,chunked,512,compact,256.5355529785156,6769915392,
8192,65536,16384,bfloat16,chunked,1024,compact,236.1026611328125,7088687616,
8192,65536,16384,bfloat16,chunked,2048,compact,230.4839630126953,7726232064,
8192,65536,16384,bfloat16,chunked,4096,compact,226.44326782226562,9001320960,
8192,65536,16384,bfloat16,chunked,8192,compact,227.65977478027344,10477756928,
8192,32768,8192,bfloat16,reference,0,compact,50.04902267456055,2433025024,
8192,32768,8192,bfloat16,chunked,64,compact,211.72735595703125,2176100352,
8192,32768,8192,bfloat16,chunked,128,compact,125.02528381347656,2196023296,
8192,32768,8192,bfloat16,chunked,256,compact,85.22342681884766,2235870208,
8192,32768,8192,bfloat16,chunked,512,compact,70.5423355102539,2315564544,
8192,32768,8192,bfloat16,chunked,1024,compact,65.48786926269531,2474953216,
8192,32768,8192,bfloat16,chunked,2048,compact,63.425537109375,2793730560,
8192,32768,8192,bfloat16,chunked,4096,compact,62.09843063354492,3431285248,
8192,32768,8192,bfloat16,chunked,8192,compact,61.5280647277832,4169523712,
8192,32768,32000,bfloat16,reference,0,compact,198.45529174804688,6333727744,
8192,32768,32000,bfloat16,chunked,64,compact,746.8594970703125,5301610496,
8192,32768,32000,bfloat16,chunked,128,compact,420.2209167480469,5326481408,
8192,32768,32000,bfloat16,chunked,256,compact,296.7930908203125,5376224256,
8192,32768,32000,bfloat16,chunked,512,compact,245.30125427246094,5475710464,
8192,32768,32000,bfloat16,chunked,1024,compact,225.16326904296875,5674682880,
8192,32768,32000,bfloat16,chunked,2048,compact,221.97760009765625,6072627712,
8192,32768,32000,bfloat16,chunked,4096,compact,218.5400390625,6868517376,
8192,32768,32000,bfloat16,chunked,8192,compact,221.80455017089844,8460296704,
