device,sm_count,num_tokens,in_features,num_classes,dtype,mode,batch_chunk_size,acc_policy,time_ms,memory_peak_bytes,error
NVIDIA_B300_SXM6_AC,148,4096,32768,16384,bfloat16,reference,0,compact,9.019935607910156,3019932672,
NVIDIA_B300_SXM6_AC,148,4096,32768,16384,bfloat16,chunked,64,compact,56.83180618286133,2736871424,
NVIDIA_B300_SXM6_AC,148,4096,32768,16384,bfloat16,chunked,128,compact,30.928800582885742,2755745792,
NVIDIA_B300_SXM6_AC,148,4096,32768,16384,bfloat16,chunked,256,compact,19.614303588867188,2793495552,
NVIDIA_B300_SXM6_AC,148,4096,32768,16384,bfloat16,chunked,512,compact,13.612383842468262,2868995584,
NVIDIA_B300_SXM6_AC,148,4096,32768,16384,bfloat16,chunked,1024,compact,12.339936256408691,3019995648,
NVIDIA_B300_SXM6_AC,148,4096,32768,16384,bfloat16,chunked,2048,compact,11.807104110717773,3321995776,
NVIDIA_B300_SXM6_AC,148,4096,32768,16384,bfloat16,chunked,4096,compact,11.166367530822754,3925996032,
NVIDIA_B300_SXM6_AC,148,8192,32768,16384,bfloat16,reference,0,compact,17.835519790649414,3825271808,
NVIDIA_B300_SXM6_AC,148,8192,32768,16384,bfloat16,chunked,64,compact,112.1882553100586,3273828352,
NVIDIA_B300_SXM6_AC,148,8192,32768,16384,bfloat16,chunked,128,compact,60.45881652832031,3292702720,
NVIDIA_B300_SXM6_AC,148,8192,32768,16384,bfloat16,chunked,256,compact,38.20195388793945,3330452480,
NVIDIA_B300_SXM6_AC,148,8192,32768,16384,bfloat16,chunked,512,compact,26.495328903198242,3405952512,
NVIDIA_B300_SXM6_AC,148,8192,32768,16384,bfloat16,chunked,1024,compact,23.958911895751953,3556952576,
NVIDIA_B300_SXM6_AC,148,8192,32768,16384,bfloat16,chunked,2048,compact,22.604639053344727,3858952704,
NVIDIA_B300_SXM6_AC,148,8192,32768,16384,bfloat16,chunked,4096,compact,21.851871490478516,4462952960,
NVIDIA_B300_SXM6_AC,148,8192,32768,16384,bfloat16,chunked,8192,compact,22.003040313720703,5670953472,
NVIDIA_B300_SXM6_AC,148,16384,32768,16384,bfloat16,reference,0,compact,35.30998229980469,5435950080,
NVIDIA_B300_SXM6_AC,148,16384,32768,16384,bfloat16,chunked,64,compact,223.99349975585938,4347742208,
NVIDIA_B300_SXM6_AC,148,16384,32768,16384,bfloat16,chunked,128,compact,120.33993530273438,4366616576,
NVIDIA_B300_SXM6_AC,148,16384,32768,16384,bfloat16,chunked,256,compact,74.30169677734375,4404366336,
NVIDIA_B300_SXM6_AC,148,16384,32768,16384,bfloat16,chunked,512,compact,53.228065490722656,4479866368,
NVIDIA_B300_SXM6_AC,148,16384,32768,16384,bfloat16,chunked,1024,compact,47.87593460083008,4630866432,
NVIDIA_B300_SXM6_AC,148,16384,32768,16384,bfloat16,chunked,2048,compact,45.826751708984375,4932866560,
NVIDIA_B300_SXM6_AC,148,16384,32768,16384,bfloat16,chunked,4096,compact,44.769630432128906,5536866816,
NVIDIA_B300_SXM6_AC,148,16384,32768,16384,bfloat16,chunked,8192,compact,44.20332717895508,6744867328,
NVIDIA_B300_SXM6_AC,148,16384,32768,16384,bfloat16,chunked,16384,compact,42.76393508911133,9160868352,
NVIDIA_B300_SXM6_AC,148,8192,16384,16384,bfloat16,reference,0,compact,8.700736045837402,2214659072,
NVIDIA_B300_SXM6_AC,148,8192,16384,16384,bfloat16,chunked,64,compact,60.81721496582031,1656924160,
NVIDIA_B300_SXM6_AC,148,8192,16384,16384,bfloat16,chunked,128,compact,33.034976959228516,1669507072,
NVIDIA_B300_SXM6_AC,148,8192,16384,16384,bfloat16,chunked,256,compact,19.33283233642578,1694673920,
NVIDIA_B300_SXM6_AC,148,8192,16384,16384,bfloat16,chunked,512,compact,13.7674560546875,1745008128,
NVIDIA_B300_SXM6_AC,148,8192,16384,16384,bfloat16,chunked,1024,compact,12.677536010742188,1845676544,
NVIDIA_B300_SXM6_AC,148,8192,16384,16384,bfloat16,chunked,2048,compact,12.327263832092285,2047013376,
NVIDIA_B300_SXM6_AC,148,8192,16384,16384,bfloat16,chunked,4096,compact,11.684224128723145,2449687040,
NVIDIA_B300_SXM6_AC,148,8192,16384,16384,bfloat16,chunked,8192,compact,11.548352241516113,3255034368,
NVIDIA_B300_SXM6_AC,148,8192,65536,16384,bfloat16,reference,0,compact,35.86822509765625,7046497280,
NVIDIA_B300_SXM6_AC,148,8192,65536,16384,bfloat16,chunked,64,compact,210.10105895996094,6516025344,
NVIDIA_B300_SXM6_AC,148,8192,65536,16384,bfloat16,chunked,128,compact,110.5302734375,6555871232,
NVIDIA_B300_SXM6_AC,148,8192,65536,16384,bfloat16,chunked,256,compact,71.84969329833984,6635564032,
NVIDIA_B300_SXM6_AC,148,8192,65536,16384,bfloat16,chunked,512,compact,52.50012969970703,6794950144,
