device,num_tokens,in_features,num_classes,dtype,mode,batch_chunk_size,acc_policy,time_ms,memory_peak_bytes,error
NVIDIA_H100_80GB_HBM3,4096,32768,16384,bfloat16,reference,0,compact,18.523040771484375,3019932672,
NVIDIA_H100_80GB_HBM3,4096,32768,16384,bfloat16,chunked,64,compact,125.57129669189453,2736871424,
NVIDIA_H100_80GB_HBM3,4096,32768,16384,bfloat16,chunked,128,compact,64.87104034423828,2755745792,
NVIDIA_H100_80GB_HBM3,4096,32768,16384,bfloat16,chunked,256,compact,35.41446304321289,2793495552,
NVIDIA_H100_80GB_HBM3,4096,32768,16384,bfloat16,chunked,512,compact,26.958240509033203,2868995584,
NVIDIA_H100_80GB_HBM3,4096,32768,16384,bfloat16,chunked,1024,compact,23.87107276916504,3019995648,
NVIDIA_H100_80GB_HBM3,4096,32768,16384,bfloat16,chunked,2048,compact,22.64703941345215,3321995776,
NVIDIA_H100_80GB_HBM3,4096,32768,16384,bfloat16,chunked,4096,compact,22.351455688476562,3925996032,
NVIDIA_H100_80GB_HBM3,8192,32768,16384,bfloat16,reference,0,compact,37.834014892578125,3825271808,
NVIDIA_H100_80GB_HBM3,8192,32768,16384,bfloat16,chunked,64,compact,250.4490509033203,3273828352,
NVIDIA_H100_80GB_HBM3,8192,32768,16384,bfloat16,chunked,128,compact,128.34991455078125,3292702720,
NVIDIA_H100_80GB_HBM3,8192,32768,16384,bfloat16,chunked,256,compact,69.06739044189453,3330452480,
NVIDIA_H100_80GB_HBM3,8192,32768,16384,bfloat16,chunked,512,compact,52.28144073486328,3405952512,
NVIDIA_H100_80GB_HBM3,8192,32768,16384,bfloat16,chunked,1024,compact,46.557376861572266,3556952576,
NVIDIA_H100_80GB_HBM3,8192,32768,16384,bfloat16,chunked,2048,compact,43.89152145385742,3858952704,
NVIDIA_H100_80GB_HBM3,8192,32768,16384,bfloat16,chunked,4096,compact,43.25619125366211,4462952960,
NVIDIA_H100_80GB_HBM3,8192,32768,16384,bfloat16,chunked,8192,compact,42.9600944519043,5670953472,
NVIDIA_H100_80GB_HBM3,16384,32768,16384,bfloat16,reference,0,compact,71.77366638183594,5435950080,
NVIDIA_H100_80GB_HBM3,16384,32768,16384,bfloat16,chunked,64,compact,497.07745361328125,4347742208,
