label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,16384,4096,32000,float16,cuda,none,False,False,False,54.630401611328125,4607869952,0.00039361522471255167,0.00021185909302380386,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,16384,4096,32000,float16,cuda,none,False,False,False,518.1122436523438,2422867968,0.0002076902246260486,0.00044014666852633237,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,16384,4096,32000,float16,cuda,none,False,False,False,534.6611328125,2275010560,0.0002076902246260486,0.0006047578525448582,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,16384,4096,32000,float16,cuda,none,False,False,False,551.4495849609375,2201081856,0.00020769026066967154,0.0008411559387865801,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,16384,4096,32000,float16,cuda,none,False,False,False,93.52499389648438,1515849216,0.0004154410632576687,0.0004402111918750295,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,16384,4096,32000,float16,cuda,none,False,False,False,103.50387573242188,1425139200,0.00035984017783378415,0.0006047939222377934,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,16384,4096,32000,float16,cuda,none,False,False,False,116.47180938720703,1379784192,0.00046439755567702985,0.0008411706550617684,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,16384,4096,32000,float16,cuda,none,False,False,False,87.12089538574219,991561216,0.0004154410632576687,0.00045659906151319457,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,16384,4096,32000,float16,cuda,none,False,False,False,90.07103729248047,900851200,0.00035984017783378415,0.0006168129578949386,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,16384,4096,32000,float16,cuda,none,False,False,False,92.49894714355469,855496192,0.00046439755567702985,0.0008498354143158907,nan,,
auto_fp32,auto,auto,float32,16384,4096,32000,float16,cuda,none,False,False,False,90.20825958251953,900851200,0.00035984017783378415,0.0006168163700057741,nan,,
liger,,,,16384,4096,32000,float16,cuda,none,False,False,False,67.37920379638672,1728528384,0.0003316438884289892,0.0004863177812507853,nan,,
