label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,4096,65536,bfloat16,cuda,none,False,False,False,27.35513687133789,2734990336,0.0031429894882670597,0.0012480974992067407,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,4096,65536,bfloat16,cuda,none,False,False,False,306.9747314453125,3443883520,0.0016614245043285111,0.00153724674561591,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,4096,65536,bfloat16,cuda,none,False,False,False,330.1888122558594,3408230912,0.0016614245046173612,0.0015706240517218736,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,4096,65536,bfloat16,cuda,none,False,False,False,411.13189697265625,3390405120,0.0016614245046173612,0.0015927723390395001,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,4096,65536,bfloat16,cuda,none,False,False,False,183.33389282226562,2370141696,0.004341861633939041,0.00153724674561591,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,4096,65536,bfloat16,cuda,none,False,False,False,222.94732666015625,2300934656,0.001661584798441066,0.0015706240517218736,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,4096,65536,bfloat16,cuda,none,False,False,False,313.6040954589844,2266331648,0.0016615288845414375,0.0015927723390395001,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,4096,65536,bfloat16,cuda,none,False,False,False,56.8903694152832,1296399872,0.004341861633939041,0.0015454157056353488,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,4096,65536,bfloat16,cuda,none,False,False,False,79.65184020996094,1227192832,0.001661584798441066,0.0015759429147770084,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,4096,65536,bfloat16,cuda,none,False,False,False,130.0561981201172,1192589824,0.0016615288845414375,0.0015966008072745032,nan,,
auto_fp32,auto,auto,float32,4096,4096,65536,bfloat16,cuda,none,False,False,False,79.47571563720703,1227192832,0.001661584798441066,0.0015759429083087124,nan,,
liger,,,,4096,4096,65536,bfloat16,cuda,none,False,False,False,79.72966766357422,2802110464,0.0031414206159381293,0.0015726595999985941,nan,,
