label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,49152,32000,bfloat16,cuda,mean,False,False,False,151.25196838378906,7638123520,0.00233126239548653,0.0015315913982949794,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,49152,32000,bfloat16,cuda,mean,False,False,False,1444.6766357421875,22234386944,0.001660510994307705,0.0015225689220799068,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,49152,32000,bfloat16,cuda,mean,False,False,False,1453.487060546875,21166920192,0.0016605109946245613,0.0017321551677039442,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,49152,32000,bfloat16,cuda,mean,False,False,False,1466.546142578125,20834513408,0.0016605109946245613,0.0019567555573102766,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,49152,32000,bfloat16,cuda,mean,False,False,False,810.8626098632812,15399776768,0.002839504628774455,0.0015225689220799068,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,49152,32000,bfloat16,cuda,mean,False,False,False,822.4204711914062,14402560512,0.002839504628774455,0.0017321551677039442,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,49152,32000,bfloat16,cuda,mean,False,False,False,828.8798828125,13903952384,0.002839504628774455,0.0019567555573102766,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,49152,32000,bfloat16,cuda,mean,False,False,False,171.32135009765625,9108320768,0.002839504628774455,0.001590927269263813,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,49152,32000,bfloat16,cuda,mean,False,False,False,171.87123107910156,8111104512,0.002839504628774455,0.0017851389060941452,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,49152,32000,bfloat16,cuda,mean,False,False,False,171.99513244628906,7612496384,0.002839504628774455,0.0019941783824622694,nan,,
auto_fp32,auto,auto,float32,4096,49152,32000,bfloat16,cuda,mean,False,False,False,185.70751953125,7363192320,0.002839504628774455,0.0021775060818551672,nan,,
liger,,,,4096,49152,32000,bfloat16,cuda,mean,False,False,False,170.60643005371094,16813182976,0.002326091954240021,0.0015238831435843907,nan,,
