label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,gpu_name,cuda_version,driver_version,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,57344,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,175.15724182128906,8820917248,0.002343140821804051,0.0015308158621371042,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,57344,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,1685.085205078125,75527214080,0.0016614099875143212,nan,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,57344,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,1699.9085693359375,24648192512,0.0016614099878752954,0.0017312918004440691,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,57344,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,1710.97802734375,24282231296,0.0016614099571299545,0.0019556339896775,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,57344,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,945.028076171875,17832473088,0.0028348072068423544,0.0015217389318951543,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,57344,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,958.0881958007812,16734593536,0.0028348072068423544,0.0017312918004440691,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,57344,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,966.677490234375,16185653760,0.0028348084249009316,0.0019556339896775,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,57344,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,198.70822143554688,10492441088,0.0028348072068423544,0.0015878325218868455,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,57344,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,199.4352569580078,9394561536,0.0028348072068423544,0.0017830913420004613,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,57344,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,200.40293884277344,8845621760,0.0028348084249009316,0.00199248208198508,nan,,
auto_fp32,auto,auto,float32,4096,57344,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,215.0451202392578,8571151872,0.0028348072068423544,0.002176434623155162,nan,,
liger,,,,4096,57344,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,198.08128356933594,19568840704,0.002338146711553945,0.0015231105518632357,nan,,
