label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,8192,32000,float16,cuda,mean,False,False,False,24.74188804626465,1724154880,0.010268262953162043,0.006907778353072705,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,8192,32000,float16,cuda,mean,False,False,False,247.14854431152344,3595924480,0.006378996241563398,0.0005030631500330118,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,8192,32000,float16,cuda,mean,False,False,False,259.6474914550781,3513607168,0.00637899624459739,0.0006973120373401794,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,8192,32000,float16,cuda,mean,False,False,False,275.3013610839844,3472448512,0.006378996241563398,0.0009726221104874966,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,8192,32000,float16,cuda,mean,False,False,False,36.887550354003906,2364371456,0.014446508544613781,0.006947072014945552,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,8192,32000,float16,cuda,mean,False,False,False,43.73708724975586,2306433536,0.015013842505118962,0.006963739155491152,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,8192,32000,float16,cuda,mean,False,False,False,60.451839447021484,2277464576,0.01534791453286031,0.006995422740180506,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,8192,32000,float16,cuda,mean,False,False,False,30.510080337524414,1315795456,0.014446508544613781,0.006948077608627726,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,8192,32000,float16,cuda,mean,False,False,False,31.258623123168945,1257857536,0.015013842505118962,0.006964743723545522,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,8192,32000,float16,cuda,mean,False,False,False,37.53062438964844,1228888576,0.01534791453286031,0.0069964204867216636,nan,,
auto_fp32,auto,auto,float32,4096,8192,32000,float16,cuda,mean,False,False,False,31.268863677978516,1257857536,0.015013842505118962,0.006964743000478736,nan,,
liger,,,,4096,8192,32000,float16,cuda,mean,False,False,False,38.15827178955078,2838286336,0.013053640873550713,0.00692467626941854,nan,,
