acc_policy,allow_retain_graph,chunking_method,device_type,dtype,grad_input_error,grad_linear_weight_error,in_features,label,memory_peak_bytes,num_classes,num_tokens,reduction,time_ms
,False,,cuda,bfloat16,0.0016767566495388654,0.0016705938175646438,4096,reference,369099776,16384,4096,mean,375.5222150066402
accurate,False,aspect_ratio,cuda,bfloat16,0.0016640746110262905,0.0028054334134917772,4096,accurate_aspect_ratio,176210432,16384,4096,mean,389.68382601160556
accurate,False,aspect_ratio:2,cuda,bfloat16,0.0016640746110262905,0.0032487165096734623,4096,accurate_aspect_ratio:2,167773184,16384,4096,mean,400.3969239711296
accurate,False,aspect_ratio:4,cuda,bfloat16,0.0016640746110262905,0.0036724922220978235,4096,accurate_aspect_ratio:4,167773184,16384,4096,mean,412.42884399252944
balanced,False,aspect_ratio,cuda,bfloat16,0.0016640746110262905,0.002805378555343574,4096,balanced_aspect_ratio,176210432,16384,4096,mean,389.8730950022582
balanced,False,aspect_ratio:2,cuda,bfloat16,0.0016640746110262905,0.0032486983438460835,4096,balanced_aspect_ratio:2,167773184,16384,4096,mean,400.91512599610724
balanced,False,aspect_ratio:4,cuda,bfloat16,0.0016640746110262905,0.0036724868082451353,4096,balanced_aspect_ratio:4,167773184,16384,4096,mean,412.9157309944276
compact,False,aspect_ratio,cuda,bfloat16,0.0016640746110262905,0.0025355969352731903,4096,compact_aspect_ratio,167773184,16384,4096,mean,389.11849400028586
compact,False,aspect_ratio:2,cuda,bfloat16,0.0016640746110262905,0.003031525877122401,4096,compact_aspect_ratio:2,167773184,16384,4096,mean,396.7173470009584
compact,False,aspect_ratio:4,cuda,bfloat16,0.0016640746110262905,0.0035225963070158,4096,compact_aspect_ratio:4,167773184,16384,4096,mean,405.3781419934239
auto,False,aspect_ratio:2,cuda,bfloat16,0.0016640746110262905,0.0030314987627307675,4096,auto,167773184,16384,4096,mean,396.55470999423414
,False,,cuda,bfloat16,nan,nan,4096,liger,604000256,16384,4096,mean,393.474887998309
