label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,error,timing_error
reference,,,,4096,4096,4096,float16,cuda,mean,False,14.231904029846191,218399744,0.006603663831864278,0.004836094942873319,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,4096,4096,float16,cuda,mean,False,47.49532699584961,520475136,0.004508511575143929,0.00021277865057337387,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,4096,4096,float16,cuda,mean,False,47.18092727661133,419795968,0.004508511574753862,0.00026474731751801044,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,4096,4096,float16,cuda,mean,False,48.37580871582031,386233344,0.004508511574358835,0.0003462953577925876,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,4096,4096,float16,cuda,mean,False,17.235807418823242,352702976,0.008012467479365928,0.004847595219575724,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,4096,4096,float16,cuda,mean,False,17.65171241760254,285577728,0.008012467479365928,0.004850219322734828,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,4096,4096,float16,cuda,mean,False,18.98361587524414,252015104,0.009197758350939039,0.004855160012359936,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,4096,4096,float16,cuda,mean,False,17.321727752685547,285594112,0.008012467479365928,0.004851319555644105,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,4096,4096,float16,cuda,mean,False,17.316511154174805,218468864,0.008012467479365928,0.00485381757992351,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,4096,4096,float16,cuda,mean,False,17.795072555541992,218399744,0.009197758350939039,0.004858860089619548,,
auto_fp32,auto,aspect_ratio:2,float32,4096,4096,4096,float16,cuda,mean,False,17.316736221313477,218468864,0.008012467479365928,0.004853816190891104,,
liger,,,,4096,4096,4096,float16,cuda,mean,False,15.295680046081543,285528064,0.006604210103186084,0.004837169542282748,,
