label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,4096,65536,float16,cuda,mean,False,False,False,26.195968627929688,2734982144,0.01393329579951155,0.006444355485121973,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,4096,65536,float16,cuda,mean,False,False,False,295.5079650878906,3443874816,0.004508586911612154,0.001241862681587855,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,4096,65536,float16,cuda,mean,False,False,False,315.2230529785156,3408222208,0.004508586910534572,0.0017162026260836385,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,4096,65536,float16,cuda,mean,False,False,False,384.837646484375,3390396416,0.004508586912086559,0.0023668676874409053,nan,,
accurate_budget_fp32,accurate,budget,float32,4096,4096,65536,float16,cuda,mean,False,False,False,330.0997009277344,3405993984,0.004508586910534572,0.0017833091139556293,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,4096,65536,float16,cuda,mean,False,False,False,64.28569793701172,2271566336,0.016964685203289063,0.006542340465955826,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,4096,65536,float16,cuda,mean,False,False,False,110.64627075195312,2251642880,0.01738906908697106,0.006565909843168336,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,4096,65536,float16,cuda,mean,False,False,False,209.5872039794922,2241681408,0.016964685203289063,0.006581713582866813,nan,,
balanced_budget_fp32,balanced,budget,float32,4096,4096,65536,float16,cuda,mean,False,False,False,74.23078155517578,2267052544,0.016965614198635844,0.006547024936794111,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,4096,65536,float16,cuda,mean,False,False,False,40.27084732055664,1197824512,0.016964685203289063,0.006542976329039207,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,4096,65536,float16,cuda,mean,False,False,False,60.23884963989258,1177901056,0.01738906908697106,0.006566334407240452,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,4096,65536,float16,cuda,mean,False,False,False,103.1731185913086,1167939584,0.016964685203289063,0.0065819611773331645,nan,,
compact_budget_fp32,compact,budget,float32,4096,4096,65536,float16,cuda,mean,False,False,False,45.29868698120117,1193310720,0.016965614198635844,0.006547620463057479,nan,,
auto_fp32,auto,auto,float32,4096,4096,65536,float16,cuda,mean,False,False,False,60.19174575805664,1177901056,0.01738906908697106,0.006566334407240452,nan,,
liger,,,,4096,4096,65536,float16,cuda,mean,False,False,False,79.25433349609375,2802110464,0.016051413533720405,0.006521763235164803,nan,,
