label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,49152,32000,bfloat16,cuda,mean,True,False,False,147.50924682617188,7900234752,0.014458498811851156,0.01543110158518122,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,49152,32000,bfloat16,cuda,mean,True,False,False,1437.8577880859375,22618096128,0.0016566337111973402,0.0016606302139342,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,49152,32000,bfloat16,cuda,mean,True,False,False,1445.434326171875,21691130368,0.0016566364550774746,0.0020285950745290277,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,49152,32000,bfloat16,cuda,mean,True,False,False,1454.6810302734375,21227647488,0.0016566364550774746,0.0026149052249221055,nan,,
accurate_budget_fp32,accurate,budget,float32,4096,49152,32000,bfloat16,cuda,mean,True,False,False,1483.081787109375,21325406720,0.0016565195889572545,0.0027780987472016652,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,49152,32000,bfloat16,cuda,mean,True,False,False,803.4857177734375,15783477760,0.0027607401074519434,0.0016606302139342,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,49152,32000,bfloat16,cuda,mean,True,False,False,815.8720092773438,14725440000,0.0027607401074519434,0.0020285950745290277,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,49152,32000,bfloat16,cuda,mean,True,False,False,825.4843139648438,14196421120,0.0027607401074519434,0.0026149052249221055,nan,,
balanced_budget_fp32,balanced,budget,float32,4096,49152,32000,bfloat16,cuda,mean,True,False,False,828.1466674804688,14308011520,0.0027605908379340466,0.0027780987472016652,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,49152,32000,bfloat16,cuda,mean,True,False,False,161.55442810058594,9492021760,0.0027607401074519434,0.0023339461023000017,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,49152,32000,bfloat16,cuda,mean,True,False,False,164.8967742919922,8433984000,0.0027607401074519434,0.0026086109660280674,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,49152,32000,bfloat16,cuda,mean,True,False,False,167.02975463867188,7904965120,0.0027607401074519434,0.0030865421328306643,nan,,
compact_budget_fp32,compact,budget,float32,4096,49152,32000,bfloat16,cuda,mean,True,False,False,172.39039611816406,8016555520,0.0027605908379340466,0.0032260221443764364,nan,,
auto_fp32,auto,auto,float32,4096,49152,32000,bfloat16,cuda,mean,True,False,False,172.2593231201172,8016555520,0.0027605908379340466,0.0032260221443764364,nan,,
