label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,1024,4096,32000,float16,cuda,mean,True,False,False,3.8891520500183105,754713600,0.26287357062821576,0.38233768609284524,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,1024,4096,32000,float16,cuda,mean,True,False,False,40.611839294433594,1724254720,0.060197100126175615,0.026005941704987108,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,1024,4096,32000,float16,cuda,mean,True,False,False,49.783809661865234,1706428928,0.06019710048508939,0.03677718660412432,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,1024,4096,32000,float16,cuda,mean,True,False,False,69.35858917236328,1697909248,0.0601971004764288,0.05200657912510583,nan,,
accurate_budget_fp32,accurate,budget,float32,1024,4096,32000,float16,cuda,mean,True,False,False,55.0645751953125,1704794624,0.06019710048508939,0.03900717265461684,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,1024,4096,32000,float16,cuda,mean,True,False,False,16.967679977416992,1158416896,0.2679217782512735,0.37209256068444546,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,1024,4096,32000,float16,cuda,mean,True,False,False,27.092992782592773,1153174016,0.25397684046727553,0.37299077642224854,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,1024,4096,32000,float16,cuda,mean,True,False,False,51.6495361328125,1150503424,0.26791085607074144,0.3748083056685047,nan,,
balanced_budget_fp32,balanced,budget,float32,1024,4096,32000,float16,cuda,mean,True,False,False,18.287616729736328,1156319744,0.2679106805542604,0.37231588860522097,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,1024,4096,32000,float16,cuda,mean,True,False,False,9.567232131958008,634128896,0.2679217782512735,0.37209256068444546,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,1024,4096,32000,float16,cuda,mean,True,False,False,14.633983612060547,628886016,0.25397684046727553,0.37299077642224854,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,1024,4096,32000,float16,cuda,mean,True,False,False,26.9619197845459,626215424,0.26791085607074144,0.3748083056685047,nan,,
compact_budget_fp32,compact,budget,float32,1024,4096,32000,float16,cuda,mean,True,False,False,10.504192352294922,632031744,0.2679106805542604,0.37231588860522097,nan,,
auto_fp32,auto,auto,float32,1024,4096,32000,float16,cuda,mean,True,False,False,9.579520225524902,634128896,0.2679217782512735,0.37209256068444546,nan,,
