label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,1024,32000,bfloat16,cuda,mean,True,False,False,5.660672187805176,1401684992,0.005962140395392027,0.010541146462425238,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,1024,32000,bfloat16,cuda,mean,True,False,False,47.429630279541016,742000640,0.001662316100096619,0.006130251232211631,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,1024,32000,bfloat16,cuda,mean,True,False,False,59.11040115356445,725092352,0.0016623160926356325,0.008589709946860246,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,1024,32000,bfloat16,cuda,mean,True,False,False,81.92921447753906,716572672,0.001662316081031315,0.01208942780178176,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,1024,32000,bfloat16,cuda,mean,True,False,False,33.254398345947266,600770560,0.0018720901850145153,0.006130251232211631,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,1024,32000,bfloat16,cuda,mean,True,False,False,46.35340881347656,580192256,0.0018776066753451903,0.008589709946860246,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,1024,32000,bfloat16,cuda,mean,True,False,False,72.08448028564453,568576000,0.001896263273311091,0.01208942780178176,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,1024,32000,bfloat16,cuda,mean,True,False,False,15.244288444519043,468649984,0.0018720901850145153,0.006235784949153623,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,1024,32000,bfloat16,cuda,mean,True,False,False,24.008703231811523,448071680,0.0018776066753451903,0.00866410708894957,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,1024,32000,bfloat16,cuda,mean,True,False,False,41.5918083190918,437504000,0.001896263273311091,0.01214262680112288,nan,,
auto_fp32,auto,auto,float32,4096,1024,32000,bfloat16,cuda,mean,True,False,False,15.19001579284668,468649984,0.0018720901850145153,0.006235784949153623,nan,,
