label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,gpu_name,cuda_version,driver_version,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,2048,16384,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,4.800511837005615,772023296,0.008087038554869138,0.01109199973616193,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,2048,16384,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,42.636287689208984,692338688,0.0016612057606688482,0.0033266613164920317,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,2048,16384,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,44.74060821533203,656684032,0.0016612056338827913,0.004552409723918125,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,2048,16384,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,49.42643356323242,638856704,0.001661205666458961,0.006329193766679529,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,2048,16384,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,26.024959564208984,541343744,0.0023455849285358822,0.0033266613164920317,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,2048,16384,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,28.846080780029297,497300480,0.0022965454240162627,0.004552409723918125,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,2048,16384,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,35.794944763183594,475278848,0.0021820606792077755,0.006329193766679529,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,2048,16384,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,12.009471893310547,407126016,0.0023455849285358822,0.0035788789646485535,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,2048,16384,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,15.265791893005371,363082752,0.0022965454240162627,0.004739170726279258,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,2048,16384,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,19.297279357910156,341061120,0.0021820606792077755,0.0064662104848264785,nan,,
auto_fp32,auto,auto,float32,4096,2048,16384,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,none,True,False,False,11.825152397155762,407126016,0.0023455849285358822,0.0035788789646485535,nan,,
