label,acc_policy,chunking_method,acc_dtype,num_tokens,in_features,num_classes,dtype,device_type,gpu_name,cuda_version,driver_version,reduction,prob_target,bias,allow_retain_graph,time_ms,memory_peak_bytes,grad_input_error,grad_linear_weight_error,grad_linear_bias_error,error,timing_error
reference,,,,4096,65536,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,197.4845428466797,9986933760,0.0016693492881716483,0.0015312814047760146,nan,,
accurate_aspect_ratio_fp32,accurate,aspect_ratio,float32,4096,65536,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,1952.752685546875,29448458752,nan,nan,nan,,
accurate_aspect_ratio:2_fp32,accurate,aspect_ratio:2,float32,4096,65536,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,1933.0498046875,28112556544,nan,nan,nan,,
accurate_aspect_ratio:4_fp32,accurate,aspect_ratio:4,float32,4096,65536,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,1956.431884765625,27714089472,nan,nan,nan,,
balanced_aspect_ratio_fp32,balanced,aspect_ratio,float32,4096,65536,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,1072.0123291015625,77022491648,0.0016610215530350131,nan,nan,,
balanced_aspect_ratio:2_fp32,balanced,aspect_ratio:2,float32,4096,65536,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,1082.6229248046875,75823948800,0.0016610215530350131,nan,nan,,
balanced_aspect_ratio:4_fp32,balanced,aspect_ratio:4,float32,4096,65536,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,1110.9017333984375,75224677376,0.0016610215530350131,nan,nan,,
compact_aspect_ratio_fp32,compact,aspect_ratio,float32,4096,65536,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,225.97427368164062,11859784192,0.0016610215530350131,0.0015928094328449532,nan,,
compact_aspect_ratio:2_fp32,compact,aspect_ratio:2,float32,4096,65536,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,226.13095092773438,10930725376,0.0016610215530350131,0.001786755864851659,nan,,
compact_aspect_ratio:4_fp32,compact,aspect_ratio:4,float32,4096,65536,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,227.33311462402344,10197236224,0.0016610215530350131,0.001994799076568646,nan,,
auto_fp32,auto,auto,float32,4096,65536,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,296.69989013671875,9647250432,0.00321381921598647,0.0023215761440540227,nan,,
liger,,,,4096,65536,32000,bfloat16,cuda,NVIDIA A100-SXM4-80GB,13.1,580.126.09,mean,False,False,False,225.83042907714844,22307590144,nan,nan,nan,,
